date,strategy,benchmark
2025-12-31,1000000.0,1000000.0
2026-01-01,1000328.6166123019,1001777.1906645398
2026-01-02,1007302.7346508914,1009200.9986427169
2026-01-05,1007322.7900619152,1008802.3508223875
2026-01-06,1004703.3874024225,1007023.2930777051
2026-01-07,1005274.7950665503,1007943.7576126704
2026-01-08,991330.7825230334,994098.3851715514
2026-01-09,981024.3464014798,984226.9940777903
2026-01-12,979780.5901725967,982760.4863594845
2026-01-13,981223.6400722563,983101.8893217815
2026-01-14,981610.7676253258,982905.8787485796
2026-01-15,981610.7676253258,982905.8787485796
2026-01-16,982266.969928577,983731.40141739
2026-01-19,976735.0507389244,978531.6744321664
2026-01-20,958037.3180486868,960224.4775414101
2026-01-21,952294.0541419303,954810.0148724382
2026-01-22,960459.3988975009,962187.4428268665
2026-01-23,947038.5018128644,948770.825883323
2026-01-26,947038.5018128644,948770.825883323
2026-01-27,950643.6166631585,952113.5485087399
2026-01-28,961648.8820207242,963630.2455354888
2026-01-29,962421.1319288083,964918.193499637
2026-01-30,963995.6383801595,966214.0712237322
2026-02-02,953757.2267016169,956387.3150847832
2026-02-03,980246.8727567787,982467.7082652366
2026-02-04,984933.3823884218,986195.6416670778
2026-02-05,979912.5217302083,981402.0341460587
2026-02-06,980287.7735435452,981314.0765424351
2026-02-09,994572.5201011999,994760.7853641147
2026-02-10,998683.2009586771,998533.6758433495
2026-02-11,999200.4125490147,999580.0438813914
2026-02-12,994715.6253865495,995138.4582161425
2026-02-13,979495.4222189279,982113.1954611982
2026-02-16,984136.4041209887,986495.0849837682
2026-02-17,988801.297700789,990285.4022804246
2026-02-18,993977.6117198815,994267.3231108146
2026-02-19,980099.1594577874,980581.6293681001
2026-02-20,982657.1876177688,983347.6638592735
2026-02-23,986048.9505416262,987253.5313480424
2026-02-24,978515.9112252027,979535.7736527363
2026-02-25,983554.6551537518,984021.2684039433
2026-02-26,985952.8610656451,986091.2974199456
2026-02-27,974952.9394124685,975293.0167832708
2026-03-02,961117.9381618868,961911.9851499168
2026-03-03,961117.9381618868,961911.9851499168
2026-03-04,942523.3300737203,944351.0021192335
2026-03-05,953976.9708131866,955029.3092911447
2026-03-06,947103.8515402589,947289.7182705175
2026-03-09,928079.5523743806,928939.7963361524
2026-03-10,941191.1763179688,941639.056152676
2026-03-11,929756.8642260085,930759.916194037
2026-03-12,924412.6405912369,925017.9352973956
2026-03-13,901995.5905992873,903723.2509883118
2026-03-16,905193.1710750974,906631.4909599693
2026-03-17,913750.230925035,914277.8503506505
2026-03-18,926280.599254738,926746.9766879902
2026-03-19,898906.2998337399,899693.6979076708
2026-03-20,902959.324344009,903098.8113718828
2026-03-23,874779.1067007531,875207.1040192266
2026-03-24,893745.7793757649,893244.7067485664
2026-03-25,911840.3487769172,910953.4077679708
2026-03-26,911840.3487769172,910953.4077679708
2026-03-27,895215.4298253945,893322.4853957806
2026-03-30,875735.5399030441,873063.2997852223
2026-03-31,875728.7418410833,873081.0938971951
2026-04-01,892484.5093799268,890766.5348186386
2026-04-02,891050.0359852833,890480.592193418
2026-04-03,891050.0359852833,890480.592193418
2026-04-06,901816.8800473749,901538.9508041908
2026-04-07,904436.63255524,904743.9040765445
2026-04-08,937466.7402273508,938889.4440827824
2026-04-09,935630.6761752455,935877.0618908027
2026-04-10,949377.486890549,949861.1870345785
2026-04-13,943435.7523692144,944272.2439510927
2026-04-14,943435.7523692144,944272.2439510927
2026-04-15,959648.3322361652,961065.5431481487
2026-04-16,962164.5999595636,964537.427268418
2026-04-17,971954.5862170414,973413.8002048217
2026-04-20,972923.7970353429,973811.3443079753
